filename;label;x0;y0;x1;y1;width;height;color_bgr;status
AC0010.jpg;circle;1;35;39;75;39;41;0,0,255;ok
AC0010.jpg;text;2;3;38;76;37;74;255,0,0;ok
AC0011.jpg;circle;1;35;39;75;39;41;0,0,255;ok
AC0011.jpg;text;2;3;38;76;37;74;255,0,0;ok
AC0020_L.jpg;circle;0;108;33;139;34;32;0,0,255;ok
AC0020_L.jpg;stem;4;0;7;113;4;114;0,180,0;ok
AC0020_M.jpg;circle;1;87;21;107;21;21;0,0,255;ok
AC0020_M.jpg;stem;3;0;6;90;4;91;0,180,0;ok
AC0020_M.jpg;text;0;101;8;109;9;9;255,0,0;ok
AC0020_S.jpg;circle;1;57;21;77;21;21;0,0,255;ok
AC0020_S.jpg;stem;3;0;6;60;4;61;0,180,0;ok
AC0020_S.jpg;text;0;71;7;79;8;9;255,0,0;ok
AC0021.jpg;circle;3;67;35;99;33;33;0,0,255;ok
AC0021.jpg;stem;4;0;32;76;29;77;0,180,0;ok
AC0021.jpg;text;0;90;35;110;36;21;255,0,0;ok
AC0022.jpg;circle;0;31;29;67;30;37;0,0,255;ok
AC0022.jpg;stem;3;0;8;33;6;34;0,180,0;ok
AC0023.jpg;circle;2;78;28;104;27;27;0,0,255;ok
AC0023.jpg;stem;3;0;6;85;4;86;0,180,0;ok
AC0023.jpg;text;0;97;9;110;10;14;255,0,0;ok
AC0024.jpg;circle;2;68;34;102;33;35;0,0,255;ok
AC0024.jpg;stem;3;0;7;77;5;78;0,180,0;ok
AC0024.jpg;text;0;93;34;110;35;18;255,0,0;ok
AC0025.jpg;circle;0;68;34;102;35;35;0,0,255;ok
AC0025.jpg;stem;3;0;31;75;29;76;0,180,0;ok
AC0025.jpg;text;0;95;34;110;35;16;255,0,0;ok
AC0026.jpg;circle;2;68;34;102;33;35;0,0,255;ok
AC0026.jpg;stem;3;0;31;77;29;78;0,180,0;ok
AC0026.jpg;text;0;93;34;110;35;18;255,0,0;ok
AC0030.jpg;circle;0;1;32;33;33;33;0,0,255;ok
AC0030.jpg;text;2;3;38;76;37;74;255,0,0;ok
AC0030_L.jpg;circle;3;101;39;139;37;39;0,0,255;ok
AC0030_L.jpg;stem;4;0;7;113;4;114;0,180,0;ok
AC0030_L.jpg;text;0;129;12;139;13;11;255,0,0;ok
AC0030_M.jpg;circle;4;78;29;104;26;27;0,0,255;ok
AC0030_M.jpg;stem;3;0;6;91;4;92;0,180,0;ok
AC0030_M.jpg;text;0;91;29;109;30;19;255,0,0;ok
AC0030_S.jpg;circle;4;48;29;74;26;27;0,0,255;ok
AC0030_S.jpg;stem;3;0;6;61;4;62;0,180,0;ok
AC0030_S.jpg;text;0;61;29;79;30;19;255,0,0;ok
AC0040_L.jpg;circle;3;101;39;139;37;39;0,0,255;ok
AC0040_L.jpg;stem;4;0;7;113;4;114;0,180,0;ok
AC0040_L.jpg;text;0;129;11;139;12;11;255,0,0;ok
AC0040_M.jpg;circle;4;78;29;104;26;27;0,0,255;ok
AC0040_M.jpg;stem;3;0;6;91;4;92;0,180,0;ok
AC0040_M.jpg;text;0;91;29;109;30;19;255,0,0;ok
AC0040_S.jpg;circle;4;48;29;74;26;27;0,0,255;ok
AC0040_S.jpg;stem;3;0;6;61;4;62;0,180,0;ok
AC0040_S.jpg;text;0;61;29;79;30;19;255,0,0;ok
AC0050_L.jpg;circle;0;96;36;134;37;39;0,0,255;ok
AC0050_L.jpg;stem;4;0;7;101;4;102;0,180,0;ok
AC0050_L.jpg;text;0;123;39;139;40;17;255,0,0;ok
AC0050_M.jpg;circle;1;87;21;107;21;21;0,0,255;ok
AC0050_M.jpg;stem;3;0;6;90;4;91;0,180,0;ok
AC0050_M.jpg;text;0;101;8;109;9;9;255,0,0;ok
AC0050_S.jpg;circle;1;57;21;77;21;21;0,0,255;ok
AC0050_S.jpg;stem;3;0;6;60;4;61;0,180,0;ok
AC0050_S.jpg;text;0;71;8;79;9;9;255,0,0;ok
AC0060_L.jpg;circle;2;48;39;86;38;39;0,0,255;ok
AC0060_L.jpg;stem;4;0;7;57;4;58;0,180,0;ok
AC0060_M.jpg;circle;0;64;26;94;27;31;0,0,255;ok
AC0060_M.jpg;stem;3;0;11;66;9;67;0,180,0;ok
AC0060_M.jpg;text;0;84;29;109;30;26;255,0,0;ok
AC0060_S.jpg;circle;1;47;29;75;29;29;0,0,255;ok
AC0060_S.jpg;stem;3;0;8;53;6;54;0,180,0;ok
